movie title,Cleaned_Overview
Hell Riders,woman car breaks desert attacked bikers finds way small town town residents are terrorized psycho bikers
Rogue Warrior: Robot Fighter,distant future humanity is overthrown artificial intelligence earth worlds
Rescue,accidental death jakes oldest daughter wife jakes daughter leah abducted human traffickers jakes experience martial arts sets little clues hand kali stick
The Adventures of Hajji Baba,ispahan persia barber mistakes emerald ring as prize delivered prince known far wide realize runaway princess is real treasure awaited promising escort final destination
Higanjima: Derakkusu,movie depicts confrontation younger brother akira miyamoto shunya shiraishi older brother atsushi miyamoto ryohei suzuki higanjima
Thirunaal,local rural thug who works politicians falls girls love
Edakkad Battalion 06,shafeeks father wanted chef chose serve country instead annual leave work shafeek young soldier deal family bride gang involved illegal activities
Agni Siragugal,
Jishin rettô,large earthquake hits tokyo predicted seismologist ignored
Young Rebels,one man jon greene drug cartel
Way of the Warriors,led inspired coach sons high school hockey team small mining town northern minnesota overcomes great challenges ice win improbable state championship
Savage Harbor,sailor shore leave meets troubled woman promises marry leave coming finds disappeared suspicious circumstances
Surviving the Wild,following untimely death grandpa gus thirteenyearold shaun disregards parents wishes embarks great journey wild dog riley spread grandpas ashes remote mountaintop
East of Sumatra,tough duke mullane tries open new jungle natives turn hostileexcept one lissome dancer
Patra Vaitha Nerupondru,movie revolves murder delivery boy murders happen probing is suspected huge mafia network murders culprits are tracked is rest movie
Paradise,ella reputation things rebellious punk fastest gun corrupt officials try cover fathers murder cuts swath weird anachronistic underbelly small island town
Milarepa,milarepa is tale greed vengeance demons magic murder redemption is story man who tibets greatest mystic
Balupu,ravi ravi teja works as collection agent icici bangalore leads happy life friends father mohan rao prakash raj who wishes ravi married girl soon ravi rushes hospital friend satyam rajesh is admitted as read
Lootere,police officer is tasked protecting murder witness
The Wasteland,
The Wasteland,tranquil lives family isolated rest society are disturbed terrifying creature testing ties bind
The Huns,primitive time long ago nomadic tribes huns ruled great steppes clan is destroyed hora is taken captive secretly plans seek revenge barbaric world violent warriors ritualistic shamans devise plan s read
The Huns,orphan chelo alonso raised foreign tribe warrior queen falls love leader enemies
Rising Fear,terrorists america hostage rogue marine sets stop
Sparta,rectangular ring teams fighters opposite forces are comrade is replaced one is sparta new spectacular kind martial arts sparta champion fights rules nikolay is opportunit read
Black Thunder,secret stealth fighter is stolen navy test pilot vince connors recover plane bring one piece battling terrorists flying deadly nerve gas evade mentor enemys pilot
The Taint,water is tainted taint poisons minds men turns raging misogynists monsters who want crush womens heads rocks objects society is transformed land sadistic violence horrible brutality is read
Bull,action film inspired reallife events brigadier bulsara indian army
Running on Empty,mike is young man who is budding street racer owner ford falcon gtho phase iii best mate mechanic tony are steel workers day arent working are racing
Namak Halaal,brought grandfather arjun singh moves city search new job life city meets bhairon who helps job as singer 5star hotel owned raja
Revelation,sequel apocalypse caught eye storm 1998 police officer search answers thorold stone joins rebel group christians thwart antichrists plan use virtual reality solidify power
Shiva,shiva is disgusted corruption new college friends decides stand status quo
Zombies of the Stratosphere,invaders come earth create hbomb blast earth orbit mars place
Warrior Savitri,modern day adaptation legendary fable savitri satyavaan yamaraj mahabharata one major sanskrit epics ancient india modern day savitri is adept martial arts save husband
What Waits Below,government using deep caves central america as bases special type radio transmitter used communicating submaries signal one transmitters suddenly disappears team soldiers cave specialists is sent read
Wounded,forest rangers julie clayton boyfriend don powell grizzlybear slaughtered forest report superior comes fbi agent eric ashton partner rangers teamup wilderness helicopter s read
Battlefield 2025,weekend campers escaped convict young lovers police officer experience night terror hostile visitor world descends small arizona town
J2: J Retribusi,jay bodyguard races time save boss businessman dato hashim daughter nadi hostile hostage situation
The Lies We Tell But the Secrets We Keep: Part 3,conclusion epic urban saga lies tell roni seeks revenge tank feels as tank bri shot takes matters hands
Ninja Vengeance,witnesses death black law student chris american ninja decides clean little redneck town ku klux klan
My Pet Dinosaur,troubled town is plunged chaos boy accidentally makes new friend
Death Brings Roses,chuck watts fugitive wanted manslaughter kentucky keeping relatively low profile as enforcer andrew max man who controls strippers hookers new orleans club circuit unknown chuck max runs extensive crime empire reach far read
Agent Red,captain matt hendricks dr linda christian are locked submarine russian terrorists threaten launch chemical virus territory
Red Billabong,australian outback estranged brothers discover old secrets family lies as friends start missing fear are stalked
Avenging Force: The Scarab,mystical scarab stone falls hand archaeologist evil villain known as sphinx tries retrieve unaware stone transformed archaeologist super powered hero scarab
Kamen Rider: Beyond Generations,kamen rider revice saber allies fight kamen rider future attempting help timedisplaced scientist reconcile elderly son
The Stranglers of Bombay,1830s captain east india company lobbies investigate criminal thugee cult kali organized crime group stranglers thieves
Devil's Night: Dawn of the Nain Rouge,military veteran who returns home works law enforcement shes assigned supernatural case thats surrounded urban myth legend
The Legend of Gobi,ruffles king forbids music kingdom gets cursed kings right hand secretly wishes throne tries kill king cursed king just die later kings right hand figures kill king takes read
Légitime violence,man family killed attempted robbery railway station decides law hands police track killers
The Last Drop,different factions wwiiera holland race stash nazi gold
Sinatra Club,nyc 1972 bloody mob war summer 5 mob families peace sinatra club gottis upcoming silver heist as joint venture
Azaadi,azaadi is based story man nadeem baig who devoted life kashmir cause is imparting vision youth cause alive
Sakhi Badshah,
The Pharm,sam afghanistan veteran turned pot farmer modifies strain cannabis grow rapid rate drastically reduce cancer cells villainous mr black is tipped orders sniper attack sam entire team hi read
Isle of Dogs,london gangland boss darius deel discovers new trophywife nadia is having affair hunts lover riley deadly game begins
"Largado, ibabalik kita sa pinanggalingan mo!",
16 Bars,story follows drew played emerging musical artist vyse aspiring young rapper as is faced life struggles led residence group home balancing job untamed anger family life pursuit musical dreams deacon music read
Daanveer,passing away widower advocate dad vijay srivastav takes raise younger siblings vishal sudha years later vishal is studying ias sudha is marriageable age vijay makes living driving autorickshaw arran read
Raakh,poor young man teams burnt cop avenge humiliation girlfriend gang goons
The Punished,wolfgang professional mercenary hire is thrust middle local dispute hired wealthy benefactor develops friendship young orphan local tour guide is torn loyalty violence money righting wrongs th read
Yi tin to lung gei 2,masters major sects are trapped wan temple hit scents poisonous powder lost martial powers
Double Barrel,impoverished young couple forced corrupt cops hired killers couple kill survive members drug syndicate who are silence
Headless Horseman,
Vedam,stories 5 people educated slum dweller aspiring rock star old villager prostitute ostracized muslim man lead night hospital filled jeopardy
Thaanaa Serndha Koottam,angered corruption stopped cbi officer young man forms gang who pose as cbi officers raids corrupt
Kuttavum Shikshayum,reallife adaptation jewellery robbery occurred kasargod case took 5 member team kerala police dreaded village uttar pradesh risked lives nab culprits
Baap Numbri Beta Dus Numbri,father son are conning city bombay
The File of the Golden Goose,agent novak scotland yard officer thompson undercover infiltrate counterfeit organization
Gambler,police inspector dayashanker pandey is slacker who wants riskfree life hes quite comfortable sharing tall tales desk job fate plans goes outside apprehends criminals smuggled goods drugs pride read
The Return of Billy Jack,billy jack returns bring child pornography ring headed godfather godfathers
Guns of a Stranger,forced line duty kill young abilene gunman sheriff matthew roberts marty robbinsis torn inner anguish takes badge leaves kansas time passes roberts is known as drifter wandering restlessly west arizona aids e read
Tank 432,team mercenaries confront nightmarish visions trapped inside armoured personnel carrier
Prematho Mee Karthik,materialistic father son thirtyday trip learn people value love father tries hide impending death son
Eye for an Eye,disavowed cia agent goes run is attacked mercenaries who learned possesses missing memory card containing information start world war iii
Eye for an Eye,drug dealer looking rest nurse looking revenge crossroads one is safe
Aetbaar,protective father starts digging deeper past daughters possessive unpredictable violent boyfriend
The Greek Job,freedom fighter secret organization brutally dismantled years ago comes selfexile entangled international frameup involving mafia political future greece
Loha,compelled law hands arjun indian army is courtmarshal jailed years later release jail takes alcohol big way comes expolice inspector shankar finds common read
Snow Monster,rapid development science technology future gene research company sent shen yiqin mysterious snowy area edge arctic unexpectedly attacked unknown giant creatures
Persons Unknown,cop current security expert jim holland one night stand amanda getting way rollerblading introduction turns thought plan amanda sister molly obtain security codes office client girls read
Midnight Witness,renegade cops are videotaped murdering motorist witnesses are danger victims
Aflatoon,trouble ensues raja is framed crimes actually committed evil lookalike rocky prove innocence eliminate nemesis
Another World,postapocalyptic future biological warfare program gone wrong leaves survivors defending infected mindless killers as struggle survive make sense is happening survivor intent revealing truth read
Another World,executive manager wife family point professional choices are overturn lives philippe lemesle wife are separating love irretrievably damaged pressures work successful executive industrial conglomerate read
AWOL-72,awol marine possession secret government information is wanted man pursued russian special ops lapd dangerous assassin
Airliner Sky Battle,russian operatives hijack commercial american jet planning crash nuclear power plant near washington dc resulting fallout devastate eastern seaboard little time air force fighters shoot passengers crew aboard read
Mawaali,ramesh gets employ as engineer factory maintain wealthy goyal verma goyal daughter nisha who is marriageable age who is love ramesh marriage is unacceptable goyal retaliation fires ramesh job t read
The Last Soviet Movie,dear aleksandrs filmmakers are sitting train unfortunately are seats leave train place words late director krzysztof kieslowski inspired maker soviet movie john f roman read
El Puño del Cóndor,
Eastern Promises 2,
Copper Skin and Iron Bones of Fang Shiyu,
Collector Garu,help journalist honest district collector fights political corruption
Tevar,caught middle lethal unrequited love athlete protects young woman unwanted marriage
Karzzzz,singerdancer tour starts hallucinating having visions having
Chor Police,inspector sunil rana shatrughan sinha assigned case triplehomicide sinha family mr sinha ashok kumar son inspector rohan vinod mehra rohans wife bindiya goswami investigation sunil concludes assailant onl read
The Fight Machine,young men different backgrounds destinies linked meet world illegal bareknuckle fighting
Yamla Pagla Deewana,married canadian travels india reunite estranged father brother faces obstacles challenges
Ottakomban,
Junkie,rock junkie trades needle gun sparks explosive conflict local cartel youve lost live aint afraid die inspired true events aka miles
Doosaboo ilchae,ignorant doshik finish high school taking family gangster business starts private coed high school gangnam seoul disguised as 19 year old gets bullied
Gautam Govinda,impressed dedication shown police inspector gautam commissioner police assigns police lawless town is overrun criminals police officer survived days gautam accepts assignment travels read
Eskapo,serge osmeña geny lopez are wrongly accused plotting assassinate president ferdinand marcos
Geçmise Dönüs,
Angels Around Me,crime boss big d rules streets boston iron fist greed deception bring
Maging sino ka man,monique is popular singer disguised as digna escape stepfather stepbrother gilbert who slowly killed mother wanted kill seize wealth gilbert father thought monique dead met restaurant as waitress read
Rocket Hunter,one dangerous missions war american b17 pilot volunteers fly surrendered messerschmidt 109 daring flight heart germany try prevent people london terrorized v2 rockets rocket hunter tells st read
Starship: Rising,starship one powerful warship federation capable destroying entire worlds order is given destroy earth flight lieutenant john worthy mutineers starship one takes federation
Cut Shoot Kill,serena brooks ambitious young actress signs as star horror film crew backwoods filmmakers worked cast starts disappearing serena character wants survive
Sakthi,trip guide starts protecting central ministers daughter egyptians who want holy diamond custody
Barood,young anup saxena lives middleclassed lifestyle bombay widower dad durgaprasad who works as police inspector anups life is turned upside witnesses men assault kill father spends rest childhood acquiring money read
Rarandoi Veduka Chudham,attending wedding gregarious young man falls love stubborn woman
Atlantis,tomboy taxidriver raidas rebellious younger brother marid goes missing turns powerful family help is determined who killed brother ensure justice prevails
Joshua: Imai Pol Kaka,tale bodyguard who look protect highprofile woman who comes chennai london
Abdullah,abdullah is devout muslim who lives small hut middle desert persia looks provides water thirsty travelers one day friend ameer informs bandit khaleel raided settlement nearby killing yasho read
Firehead,russian cyborg telekinetic powers terrorizes city elite government agency intervenes chemist teams special agent capture menace true villain isnt who expected
Okka Magadu,veera venkata satyanarayana swamybalakrishna is good samaritan helps fellow villagers need police blame murders vigilante named okka magadubalakrishna takes blame who is okka magadu is related swamys grand mother
Bare Knuckle Brawler,cop is brutally murdered investigating deaths fighters brother knows enter underground world noholdsbarred bare knuckle brawling is one rule are rules
Bare Knuckles,determined single mom distance win tournament ultimately lead better life daughter
Dharmatma,wealthy powerful influential seth dharamdas leads financially secure life palatial mansion is known come aid people who are hope assistance leads known as dharmatma seth dharamdas does number s read
Local Kung Fu,local kung fus plot revolves charlie ordinary boy guwahati delicate stomach girlfriend number madcap characters as wannabe local don thief who is rumoured roam naked
Asal,legitweapons dealer 3 sons shiva is one who is subdued brothers rescues kidnapped brother shot uncovers mystery fathers death takes revenge
Extreme Dating,actioncomedy twentysomething friends are looking love having luck ski trip one finds passion beautiful girl random accident icy slopes quickly conclude extreme circumstances accident read
The Charisma Killers,old mentor 7 killers finds terminal cancer gives opportunity fortune prove one night exact revenge
Thunder and Lightning,young man who hauls liquor moonshiners comes competing gang moonshiners who intend rid operation
Toxic Skies,anne heche stars as world health organization doctor who uncovers real cause epidemic is governments secret chemtrail program
My Soul to Keep,eli believes theres monster living basement trying steal soul
Sleeping Beauty,beautiful aurora is cursed everlasting sleep evil witch crime didnt commit brave commander guard william embarks quest inspired love loyalty free doomed princess
The Charge at Feather River,colorado territory miles archer is asked cavalry fort bellows aid rescuing white women abducted cheyenne provide security railroad construction teams
Body Count,new orleans cops try capture ruthless assassins who are trying avenge cops who previously set
Body Count,supposed easy job 5 guys rob art museum 15 million paintings comes body count continues way miami sell
Noise,shishikari is remote island is times island suffers decreasing population declining industries keita izumi begins produce black fig shishikari island received product island is close receiving 5 billion yen read
Thunder of Gigantic Serpent,secret formula cause plants animals expand thousandfold size is stolen terrorist group wild chase shootout formula is lost little girl who accidently gives formula pet snake snake grows read
Armstrong,night job rookie emt partner pick wounded superhero are pulled mission save los angeles sinister organization
Ravanaprabhu,story begins fall mangalasherry neelakantans mohanlal son karthikeyan mohanlal as ventures make money ultimately makes liquor baron relationship neelakantan karthikeyan deteriorates as father does approve hi read
Cheburashka,remake popular soviet animation movie cheburashka crocodile gena
Dishkiyaoon,vicky wanted godfather mumbai underworld gains loses gains respect power leadership loses love friendship
The Big I Am,cruel twist fate catapults small time crook mickey skinner big league as head brutal london gang poised brink lucrative humantrafficking deal
Gitler kaput!,russian ww2 spy spoof following misadventures clueless soviet secret agent trapped inside hitlers inner circle
The Long Duel,protest british oppression tyranny tribal leader bandit
The Killing Machine,harlin garret loses memory finds closed facility claimed belong state security services manager place tells garrett used killer mob garrett refuses believe is forced kill people are risk read
Smokey Bites the Dust,movie follows rivalry smalltown southern sheriff smalltown teenaged thief who steals cars destroys sheriffs daughter
Hellbent,bandleader career is nosediving makes deal owner bar sell soul success
Livvakterna,causing commotion assignment falk given desk job hardly agrees personality ends accepting offer old friend buy private investigation agency friend falks sven purchased business e read
Short6,collection acclaimed short movies screened film festivals world
Bagavathi,bhagvathi tea vendor big dreams younger brother guna guna gets killed girlfriends father who is unaware daughter is pregnant
Hand Gun,jack is midst major robbery leaves injured accomplices dead jack manages hide 500000 robbery makes way death bed
Akhil,cruel businessman attacks tribal village stone people treat as special guy who thinks is related stone comes aid
Shark in Venice,traveling venice investigate fathers mysterious death famous archaeologist diver david stephen baldwin unearths killer secret lies beneath venetian waters
I Am Hooligan,young lad is brainwashed thinking way life london estate is football hooligan fight way best friend tries steer right path is tragic turn events
Pratighaat,dharampura is city modern secular india is terrorized held ransom kali prasad dreaded underworld don extortionist who runs courtroom shielded protected local mla does away opponents openly fear read
No Way Up,characters different backgrounds are thrown plane theyre travelling crashes pacific ocean airliner comes rest perilously close edge ravine surviving passengers crew trapped air pocket nightmar read
Deewane Huye Paagal,man embarks journey love dubai learn different suitors admirers
Kala,psychological thriller revolves shaji who faces intriguing conflict layered shades human behavior
Jinde Meriye,yaadi falls love rehmat innocent focused student rehmats father decides arrange marriage lawabiding man called yuvi places rehmat crossroad life
Begum Jaan,story prostitutes who refuse ways brothel partition india pakistan
Vakeel Saab,girls accused attempt murder escaping molestation hope is alcoholic lawyer who agrees case
Dasara,
Irumbu Thirai,soldier takes gang cyber criminals money goes missing account
The Power,is hairraising journey world lovers as families are ripped apart sake revenge power entertaining look rise pit blood lust despair
Karz,ravi is killed wife marriage is reborn as monty is singer goes holiday ooty recollects memories previous life inquires family life evil wife kamini
High & Low: The Movie 2 - End of Sky,brutal new gangs appear gangs are doubt prison gang try dominate area controlled sword gangs area challenge white rascals fight
Madhagaja,undercover cop goes big bad world place taken don safety compromised
Final Impact,world kickboxing champion trains tough young fighter who hopes avenge merciless defeat suffered hands sadistic champ years earlier
Zaalim,judge somnath lives wife sons daughter sons vikram mohan are married daughter kaamna youngest son ravi are marriageable age somnath wanted sons doctor police officer judge vikram is su read
Thamizhan,carefree young man who works as junior lawyer turns honest lawyer avenge sister brotherinlaw punishing villains taking law hands
9MM,
Dead Meat,infection spreads slaughtered animals humans causes dead rise feed living
Romeo Vs Juliet,romeo is unruly youth local village goes london seeing dream girl facebook win heart
For Better or Worse,comic love triangle man falls love younger brothers wife
Queen of the Trap House 2: Taking the Throne,kionna taken control dead boyfriends drug empire taken throne official queen trap house new man steps life causing shift focus away criminal enterprise kionna begins dealing new ene read
Agnee 2,story revenge agnee takes revenge people who killed parents
Hard Evidence,trent turner beautiful wife fabulous house business owns best friend mistress mistress who gets involved hes bargained goes vancouver weekend hes shocked discover read
Blackmark,1963 military industrialist arthur blackmark soviet commander race clock stop international nuclear incident threatens cold war end world
Caravan,sunita is young woman who ends married wrong man rajan thinking conspired girlfriend monica murder runs away old friend fathers bangalore who able help having money way read
Flukten fra Katterat,north norway 11 march 1944 german forces are occupying katterat station iversens are passing information narvik england secret realize german troops are plan escape summon border guide olav who helps plan h read
Teen Titans: Alpha,teen titans group high school superheroes fight save city
Hollywood Cop,detective tries child who kidnapped gangsters
Hide,modern day bonnie clyde twist follows lovers path destruction mayhem murder as live world is acceptable want murderous consequences
Lake Michigan Monster,eccentric ship captain crew specialists plot revenge mysterious creature deep lake michigan monster
Karate,scientist creates diamond focus sunrays burn villain bid diamond kills scientist scientists karatelearning sons desh vijay are separated mother vjay grows karate instr read
Rakhwala,dharmendra plays deepak honest hard working son family consists widowed mother younger brother suresh luck stumbles good job wrong man mr jwalaprasad mother takes oath protect younger brother death bed read
Slipstream,scientist goes bank meet pretty bankteller timemachine allows 10 minutes time correct approaches hes shadowed 2 fbi agents bank gets robbed
Agent for H.A.R.M.,secret agent tries stop scientist who devised bacterium devours body
Entha Manchivaadavuraa,balu loses parents childhood grows as orphan starts organization named is supply emotions needy
"Noel Juico, 16: Batang kriminal",
OSS 117 se déchaîne,american agent disappears scuba diving reconnaissance mission corsica secret service sends agent code oss 117 investigate
Deadly Past,bartender parole gets reinvolved previous girlfriend discover hes criminal scheme
Tarzan and the Lost Safari,tarzan leads passengers downed airplane jungle en route white hunter hawkins tries sell oparian chief captured oparians nearly sacrificed lion god party is saved tarzan
Manila Kingpin: The Asiong Salonga Story,biopic notorious late1940s manila gangster death 26 1951 legend known day who came tondo town manila known period as tough dangerous place
Ablaze,oil refinery blows causing firestorm threatens hospital inside
Samarasimha Reddy,revenge story samarasimha reddy veera raghava reddy
Earthfall,earth comes alien attack humanitys hope is downandout nasa astronaut who struggle save world darkest hour
The Return of Superfly,actionpacked sequel retired drug dealer living paris discovers old partner killed returns ny avenge murder
West of the Divide,ted hayden impersonates wanted man joins gentrys gang learn later gentry one who killed father saves virginia winters dads ranch gentry rescues longlost brother spud
Lupin's Daughter,mikumo family attempts biggest heist date traveling abroad
That Man Bolt,briefcase hong kong mexico city los angeles is necessary man bolt number dangerous spies gangsters who are briefcase maybe jefferson bolt is
The Jerusalem File,american student starts working arab colleague putting politics aside is colleague just regular joe set time arabisraeli day war
Özgür Dünya,story game managed artificial intelligence fall as bomb sector actually different meaning asli father work designed thousand difficulties world are unaware existence read
SOS Kolkata,movie is team ats officers fighting terrorists various situations danger comes terrorists attack hotel
Atlantic Convoy,american naval forces are using port iceland as base antisubmarine patrols protect north atlantic convoys german subs germans send undercover agents port scheme blow entrance harbor patrols blocked offic read
Revelation Road 2: The Sea of Glass and Fire,rapture history traveling salesman josh warrior road plan return home god guides help make josh plan
Thunderbird 6,members international rescue crew attend maiden flight brains revolutionary craft skyship one unaware are lured deadly trap
Wajood,story revolves malhar gopaldas agnihotri outofwork actor poor dependent father who is heading retirement malhar knows act needs is encouragement money gets father is abusive read
Hyper,young man fights corrupt government official
Baghavat,region maharaj singhs control is undergoing drought faminelike conditions maharaj orders treasury open public does suffer orders are followed senapati dhurjan singh mahamantri singh finds read
Trader Horn,white traders darkest africa 1870s missionarys daughter who captured as child savage tribe worshiped as goddess
Heart Attack,commitment phobic hippie falls love woman chases dismay aims needs
South Sea Woman,awol marine sgt jim ohearn is courtmartialed variety offenses carry 143 years stockade death penalty refuses aid defense
Adrenaline,female fbi agent holidaying eastern europe family gets life upside daughter is kidnapped team criminal run save daughter time runs
Amar Akbar Anthony,brothers are separated united years one is brought hindu muslim memorable christian hilarity adventure ensues
Naajayaz,inspector jai is upright fearless cop who is given job criminal empire raj solanki jai accomplice inspector sandhya who happens love start taking rajs empire gusto
Asteroid-a-Geddon,global scientific summit debates fails plan stop massive asteroid heading straight earth countries blaming impeding disaster communications tense daughter tech billionaire assembles team specialists tr read
Daku Hasina,movie is simple village girl played zeenat aman who changes dreaded thief bandit who creates havoc village police parents are killed village head
Dangerous Prey,trip europe woman gets abducted soon finds training facility female mercenaries deed doctor wife manipulate women killing comply chip inserted brain kill
Yoddha the Warrior,yoddha warrior is bengali action historicalromance movie 2014 film is remake 2009 telugu blockbuster movie magadheera featuring ram charan teja kajal agarwal film is directed raj chakraborty film dev seen opposite mimi chakraborty read
Battle of Saipan,surgeon defends hospital invading enemy forces battle saipan world war ii
Anbanavan Asaradhavan Adangadhavan,local gangster madurai bids adeiu past life years later late 50s falls love girl changes life
The Legend of Immortal Sword Cultivation,tie jian is ordinary young man mortal world beneath heavenly path suffering is eager immortal cultivate as born sword spirit happens pull heart burning sword bequest sword sage w read
Ashok,quicktempered automechanic is desperate reconcile pacifist father threat bloodthirsty mobster forces fight sake family friends love
Báng-kah,set 1980s taiwan end military dictatorship monga centers troubled lives boys coming age narrator story mosquito is invited gang silly fight chicken leg mosquito grew fat read
Untitled Dwayne Johnson Action Comedy,
Grey,siddhant witnesses murder entire family video chat sister aishwarya teams adopted brother ajmal fiancée gayathri seek revenge
Boogie Town,boogie town modern day west story hip hop generation takes place new york city future theres violence drugs place are illegal dance contests occur underground world boogie town micha jay leaders o read
Portal,film adaptation video game series
Farz,acp arjun singh brotherinlaw tayaji are police force tayaji is assassinated duty arjuns family feels devastated death soon gawa firozi brother sikander start terrorize city
Pirates of Treasure Island,innkeepers life monotony suddenly changes comes possession treasure map
Spy Story,british spy is framed evade kgb cia british intelligence reach heart conspiracy arctic
3 Tickets to Paradise,aj parker exhusband federal agent head ghost town mexico called paradise search hidden cache 5000 stolen double eagle 20 gold coins
The Viking Sagas,mythical warrior wanders snowcapped landscapes north territories arduous quest vengeance amid nobles schemers saints brutes lovers fools viking swings sword familys honor beloveds hand survival h read
Born of War,family is killed mina finds real father is terrorist killings revenge mina works british intelligence
Beaufort,story group israeli soldiers stationed outpost prior withdrawal forces 2000
24 Little Hours,vengeful excon goes 24 hour killing spree saying word discredited detective investigating case is convinced is evidence suggests
Gekijoban Pocket Monster Best Wishes! Kyurem vs Seikenshi Keldeo,zealous pokemon called keldeo enrages powerful kyurem help ash pikachu keldeo sword justice defeat mighty kyurem
The Cure,film is young female researcher life is danger discovers pharmaceutical company works developed cure cancer years earlier havent released destroy chemotherapy drug sales esca read
Impact Earth,nasa asteroid tracker discovers looming asteroid collision send collisioncourse earth wrong years earlier cost career nasa listen starts raising waning flags desperate read
Safeguard,japanese restaurant is extorted russian mafia london father takes matters hands protect family save business costs
Yeh Raaste Hain Pyaar Ke,artistes car thieves vicky ajay devgan sakshi preity zintar run afoul bhanwarlal deep dhillon mob accidentally kill brother bhanwarlal brother mayur swear avenge death brother mistakenly ki read
Bharaate,jagan meets radha is love sight finding happilyeverafter is harder
Organ,police detectives numata tosaka infiltrate group underground black market human organ dealers things haywire raid groups surgical headquarters
Agents of Project Blue Book,welcome 20th century story actually occurred 100 years making time twitter facebook google time people drank smoked led short exciting lives guys kansas one destined president read
Dead Don't Die in Dallas,miracle pill intended save world causes unforeseen sideeffects forcing surviving gays bible thumpers small texas town join forces fall prey flesh craving mutants
Sarkar Raj,powerful gang emerges wipe sarkar playground power plant proposal cause greater political turmoil happens family
Honor Up,drug lords lieutenant struggles protect crime family honor shootout
Garm Wars: The Last Druid,world clone soldiers military tribes are locked perpetual battle air land technology one clone is separated battle finds run group unlikely companions
In Her Line of Fire,vice presidents plane goes near remote pacific island is kidnapped rebel forces held ransom is female secret service agent press secretary infiltrate camp save
Aap Mujhe Achche Lagne Lage,daughter rich criminal industrial tycoon falls love college boy tycoon surprise objects
Heneral Luna,set philippineamerican war shorttempered filipino general faces enemy formidable american army treacherous countrymen
Commando 3,karan goes london stop terrorist attack india
BuyBust,antidrug enforcement agency stages massive drug bust slums manila
Hot Guys with Guns,imagine lethal weapon mel gibson danny glover as younger hotter exboyfriends youll basis hot guys guns modern oldfashioned detective story chinatown meets boystown
"Sangraal, la spada di fuoco",swordsmans wife is murdered followers evil goddess rani vows vengeance cult journeys ark templars magic crossbow help accomplish mission
Home Operation,story inspired real events emergency evacuation chinese nationals diplomats foreigners war yemen 2015
Divination,supernatural forces collide divination jason dangelo midili is young successful artist married lovely jessica natasha sims theyre filled joy pregnancy uncanny return mysterious friend dee lisa coronado jason is read
Far Out,filmmaker undercover 3 trials order mob boss known as goldberg
Goma-2,terrorist started lawful career truck driver trip ignores warnings given mafia leads setting truck wife board avenged
Marabahaya Underground,chon is college student who is drift racing idolizes shah dhani tries successful racer
Argo,crew tibi balogh sets journey hungary ancient gold owl statue as as milk man treasure is worth millions who gets
Teraa Surroor,tara wadia farah karimaee singer girlfriend gangster raghu himesh reshammiya lives mother shernaz patel goes dublin gets detained caught drugs tara calls raghua help raghu help anirudh brahma read
No Code of Conduct,cop partner father uncover plot city elders smuggle drugs mexico phoenix arizona
Drums of Fu Manchu,nefarious dr fu manchu searches keys tomb genghis khan order fulfill prophecy enable conquer world nemesis dr nayland smith associates fight evil doctor getting hands keys
Scream Free!,heres easy rider inspired plot combination west story stars richard beymer falls love lana wood sister natalie wasnt available need cash agree help russ tamblyn gang smuggle grass mexico la beymer obje read
Cabal,military assassin is hired hunt eliminate bloodthirsty serial killer who is committing murders forbidden forest
Grindsploitation,exploitation anthology twisted minds established coming directors globe
Steel Sharks,undersea thriller united states chemist is captured terrorists rescue attempt elite group navy seals goes wrong are captured wage silent war beneath waves
Fever Heat,final film role nick adams is young mechanic who finds danger romance exciting unscrupulous world stockcar racing
The Fifth Commandment,bangkok assassin who turns job hits close home finds targeted elite members profession
Emmanuelle Through Time: Rod Steele 0014 & Naked Agent 0069,legendary queen erotica ultimate secret agent finally meet
Last Flight to Abuja,midair difficulties forces nigerian commercial plane emergency landing devastating consequences
Bad Boy II,
Garrison 7: The Fallen,elite special forces commander accidentally uncovers insidious military conspiracy family is brutally murdered target intergalactic manhunt stop silence
Odeya,gajendra is kind hearted person who hates getting married brothers decides make fall love
Westbound,1864 capt john hayes goes colorado stagecoach line flow western gold flowing help north win civil war
Kiltro,leader chilean gang uses martial arts protect girl bully
Ark,2204 people need escape doomed planet late
The Home,home unfolds young man is nearly killed accident leaves physically emotionally scarred recuperate is taken secluded nursing home elderly residents appear suffering delusions witnessing violent attac read
The Home,follows max who realizes residents caretakers retirement home started working hide sinister secrets
Hoodrats 2: Hoodrat Warriors,beautiful girls kicking ass smashing skulls fighting gang members los angeles one battle till confronting king streets
Rocky Mental,boxer caught scandal is targeted man who wants destroy life
Balwaan,arjun singh lives mother sister takes fight injustice gets notice police commissioner who decides enlist arjun police force war injustice continues life changes cross path notori read
Amityville Island,cursed survivor killings amityville house brings evil small island bizarre genetic experiments are carried humans animals secret womens prison
129,2063 soldier named 129 escapes merdocorp company is chasing technological developments cloned organs robots flying cars soldier does remember wants know past
Trust No 1,officer bradley douglas rouillard investigates murders believed serial killing quickly learns bigger body count rising adding turns resort help brother
Die Wilden Kerle 5,team heroes faces dangerous opponents shadow realm soccer playing vampires
Azumi 2: Death or Love,young assassins azumi nagara continue mission prevent civil war hunt masayuki sanada who is protected army dangerous clan meet ginkaku person who shows remarking resemblance friend nachi
